rx (km),ry (km),rz (km),vx (km/sec),vy (km/sec),vz (km/sec),mass (kg),time (sec)
6286.352489426814,-4466.97383986072,6.114768914112658e-18,8.054113459955557,6.02897805026187,1.2004994726030158e-19,218.75825323246852,848114.8156442461
6289.9440774482755,-4464.284531643714,6.16831099721625e-18,8.05171168875595,6.030736631767073,1.2004981186451482e-19,218.75380789552233,848115.2616428813
6293.534594260818,-4461.594439537479,6.221853015837317e-18,8.04930981845554,6.03249325987628,1.200496580956965e-19,218.74936255857617,848115.7076415163
6297.124039820819,-4458.9035644128835,6.2753949617979075e-18,8.046907851020974,6.034247935338797,1.2004948611114671e-19,218.74491722162998,848116.1536401517
6300.712414085259,-4456.211907140812,6.328936827022707e-18,8.044505788410882,6.0360006589130135,1.20049296024324e-19,218.7404718846838,848116.5996387867
6304.2997170121935,-4453.519468591546,6.3824786034195855e-18,8.042103632573015,6.037751431370009,1.2004908776696942e-19,218.73602654773762,848117.0456374221
6307.885948560539,-4450.826249635019,6.436020282880628e-18,8.039701385457267,6.039500253477349,1.2004886134275957e-19,218.73158121079146,848117.4916360572
6311.471108689893,-4448.132251141092,6.489561857312739e-18,8.037299049010159,6.041247126005876,1.2004861678921641e-19,218.7271358738453,848117.9376346924
6315.055197360973,-4445.437473978922,6.543103318635734e-18,8.034896625175726,6.042992049728686,1.2004835412622003e-19,218.7226905368991,848118.3836333276
6318.638214535113,-4442.7419190176815,6.596644658775728e-18,8.032494115895801,6.0447350254206835,1.200480733693051e-19,218.71824519995295,848118.8296319628
6322.220160174759,-4440.045587125837,6.6501858696681554e-18,8.03009152310948,6.046476053859314,1.2004777454543878e-19,218.71379986300676,848119.275630598
6325.801034242981,-4437.3484791718665,6.703726943261559e-18,8.027688848753584,6.0482151358239165,1.2004745767842364e-19,218.7093545260606,848119.7216292332
6329.38083670395,-4434.650596023539,6.757267871512386e-18,8.025286094762002,6.049952272096576,1.200471227869618e-19,218.7049091891144,848120.1676278684
6332.9595675224555,-4431.951938548639,6.8108086463867085e-18,8.022883263066433,6.0516874634611675,1.200467698922425e-19,218.70046385216824,848120.6136265036
6336.537226664398,-4429.252507614234,6.864349259859534e-18,8.020480355595662,6.053420710704267,1.2004639901486628e-19,218.69601851522205,848121.0596251388
6340.113814096285,-4426.552304087407,6.917889703916729e-18,8.018077374277368,6.055152014612877,1.2004601018756947e-19,218.6915731782759,848121.505623774
6343.689329785673,-4423.851328834613,6.971429970557125e-18,8.015674321034092,6.056881375979429,1.2004560340703237e-19,218.6871278413297,848121.9516224092
6347.2637737009745,-4421.149582721957,7.024970051770886e-18,8.013271197786175,6.058608795598145,1.2004517869897297e-19,218.68268250438354,848122.3976210444
6350.837145811271,-4418.44706661546,7.078509939580426e-18,8.010868006453691,6.060334274262607,1.2004473612385528e-19,218.67823716743735,848122.8436196796
6354.40944608675,-4415.743781380427,7.132049626017027e-18,8.008464748951074,6.062057812772436,1.2004427566202832e-19,218.67379183049118,848123.2896183148
